year,month,date,time,energy
2023,1,5,07:00:00,2671.875
2023,1,5,07:15:00,2640.625
2023,1,5,07:30:00,2585.9375
2023,1,5,07:45:00,3187.5
2023,1,5,08:00:00,3484.375
2023,1,5,08:15:00,2578.125
2023,1,5,08:30:00,2617.1875
2023,1,5,08:45:00,2046.875
2023,1,5,09:00:00,3390.625
2023,1,5,09:15:00,3632.8125
2023,1,5,09:30:00,3601.5625
2023,1,5,09:45:00,2968.75
2023,1,5,10:00:00,2406.25
2023,1,5,10:15:00,2375.0
2023,1,5,10:30:00,2437.5
2023,1,5,10:45:00,2937.5
2023,1,5,11:00:00,2953.125
2023,1,5,11:15:00,2875.0
2023,1,5,11:30:00,3296.875
2023,1,5,11:45:00,2679.6875
2023,1,5,12:00:00,2156.25
2023,1,5,12:15:00,2453.125
2023,1,5,12:30:00,2492.1875
2023,1,5,12:45:00,3921.875
2023,1,5,13:00:00,2726.5625
2023,1,5,13:15:00,2242.1875
2023,1,5,13:30:00,1828.125
2023,1,5,13:45:00,2398.4375
2023,1,5,14:00:00,2937.5
2023,1,5,14:15:00,3289.0625
2023,1,5,14:30:00,7046.875
2023,1,5,14:45:00,9382.8125
2023,1,5,15:00:00,7414.0625
2023,1,5,15:15:00,7070.3125
2023,1,5,15:30:00,7304.6875
2023,1,5,15:45:00,6812.5
2023,1,5,16:00:00,7414.0625
2023,1,5,16:15:00,7226.5625
2023,1,5,16:30:00,6812.5
2023,1,5,16:45:00,5984.375
2023,1,5,17:00:00,4710.9375
2023,1,5,17:15:00,3820.3125
2023,1,5,17:30:00,3484.375
2023,1,5,17:45:00,3539.0625
2023,1,5,18:00:00,2734.375
2023,1,5,18:15:00,2585.9375
2023,1,5,18:30:00,2453.125
2023,1,5,18:45:00,2148.4375
2023,1,5,19:00:00,1492.1875
2023,1,5,19:15:00,1320.3125
2023,1,5,19:30:00,1335.9375
2023,1,5,19:45:00,1414.0625
2023,1,5,20:00:00,1835.9375
2023,1,5,20:15:00,1796.875
2023,1,5,20:30:00,1640.625
2023,1,5,20:45:00,3093.75
2023,1,5,21:00:00,3375.0
2023,1,5,21:15:00,2453.125
2023,1,5,21:30:00,1671.875
2023,1,5,21:45:00,1632.8125
2023,1,5,22:00:00,1617.1875
2023,1,5,22:15:00,1656.25
2023,1,5,22:30:00,1632.8125
2023,1,5,22:45:00,1828.125
2023,1,5,23:00:00,1843.75
2023,1,5,23:15:00,1820.3125
2023,1,5,23:30:00,1773.4375
2023,1,5,23:45:00,1742.1875
2023,1,6,00:00:00,1718.75
2023,1,6,00:15:00,1789.0625
2023,1,6,00:30:00,1781.25
2023,1,6,00:45:00,1750.0
2023,1,6,01:00:00,1859.375
2023,1,6,01:15:00,1859.375
2023,1,6,01:30:00,1757.8125
2023,1,6,01:45:00,1726.5625
2023,1,6,02:00:00,1773.4375
2023,1,6,02:15:00,1726.5625
2023,1,6,02:30:00,1750.0
2023,1,6,02:45:00,1960.9375
2023,1,6,03:00:00,3312.5
2023,1,6,03:15:00,3429.6875
2023,1,6,03:30:00,2015.625
2023,1,6,03:45:00,1718.75
2023,1,6,04:00:00,1664.0625
2023,1,6,04:15:00,1671.875
2023,1,6,04:30:00,1765.625
2023,1,6,04:45:00,1742.1875
2023,1,6,05:00:00,1562.5
2023,1,6,05:15:00,1742.1875
2023,1,6,05:30:00,1578.125
2023,1,6,05:45:00,1437.5
2023,1,6,06:00:00,1437.5
2023,1,6,06:15:00,1507.8125
2023,1,6,06:30:00,1453.125
2023,1,6,06:45:00,1515.625
2023,1,6,07:00:00,2515.625
2023,1,6,07:15:00,3187.5
2023,1,6,07:30:00,3390.625
2023,1,6,07:45:00,3898.4375
2023,1,6,08:00:00,3484.375
2023,1,6,08:15:00,2265.625
2023,1,6,08:30:00,2562.5
2023,1,6,08:45:00,3718.75
2023,1,6,09:00:00,3296.875
2023,1,6,09:15:00,2834.53369140625
2023,1,6,09:30:00,2507.8125
2023,1,6,09:45:00,4695.3125
2023,1,6,10:00:00,5601.5625
2023,1,6,10:15:00,3992.1875
2023,1,6,10:30:00,3078.125
2023,1,6,10:45:00,3078.125
2023,1,6,11:00:00,3718.75
2023,1,6,11:15:00,3109.375
2023,1,6,11:30:00,2937.5
2023,1,6,11:45:00,2648.4375
2023,1,6,12:00:00,1734.375
2023,1,6,12:15:00,1164.0625
2023,1,6,12:30:00,1138.427734375
2023,1,6,12:45:00,2867.1875
2023,1,6,13:00:00,4078.125
2023,1,6,13:15:00,3335.9375
2023,1,6,13:30:00,6437.5
2023,1,6,13:45:00,6601.5625
2023,1,6,14:00:00,5453.125
2023,1,6,14:15:00,5132.8125
2023,1,6,14:30:00,6085.9375
2023,1,6,14:45:00,5210.9375
2023,1,6,15:00:00,5414.0625
2023,1,6,15:15:00,5414.0625
2023,1,6,15:30:00,4382.8125
2023,1,6,15:45:00,4914.0625
2023,1,6,16:00:00,5140.625
2023,1,6,16:15:00,4625.0
2023,1,6,16:30:00,4335.9375
2023,1,6,16:45:00,4046.875
2023,1,6,17:00:00,3585.9375
2023,1,6,17:15:00,4000.0
2023,1,6,17:30:00,3515.625
2023,1,6,17:45:00,3992.1875
2023,1,6,18:00:00,3265.625
2023,1,6,18:15:00,2843.75
2023,1,6,18:30:00,3007.8125
2023,1,6,18:45:00,2601.5625
2023,1,6,19:00:00,2562.5
2023,1,6,19:15:00,2414.0625
2023,1,6,19:30:00,2445.3125
2023,1,6,19:45:00,2179.6875
2023,1,6,20:00:00,2023.4375
2023,1,6,20:15:00,2054.6875
2023,1,6,20:30:00,1953.125
2023,1,6,20:45:00,2304.6875
2023,1,6,21:00:00,3710.9375
2023,1,6,21:15:00,3632.8125
2023,1,6,21:30:00,2046.875
2023,1,6,21:45:00,1945.3125
2023,1,6,22:00:00,1921.875
2023,1,6,22:15:00,1835.9375
2023,1,6,22:30:00,1617.1875
2023,1,6,22:45:00,1796.875
2023,1,6,23:00:00,1789.0625
2023,1,6,23:15:00,1843.75
2023,1,6,23:30:00,1726.5625
2023,1,6,23:45:00,1804.6875
2023,1,7,00:00:00,1695.3125
2023,1,7,00:15:00,1734.375
2023,1,7,00:30:00,1679.6875
2023,1,7,00:45:00,1734.375
2023,1,7,01:00:00,1648.4375
2023,1,7,01:15:00,1460.9375
2023,1,7,01:30:00,1445.3125
2023,1,7,01:45:00,1578.125
2023,1,7,02:00:00,1507.8125
2023,1,7,02:15:00,1468.75
2023,1,7,02:30:00,1531.25
2023,1,7,02:45:00,2515.625
2023,1,7,03:00:00,3203.125
2023,1,7,03:15:00,2765.625
2023,1,7,03:30:00,1468.75
2023,1,7,03:45:00,1500.0
2023,1,7,04:00:00,1539.0625
2023,1,7,04:15:00,1484.375
2023,1,7,04:30:00,1445.3125
2023,1,7,04:45:00,1515.625
2023,1,7,05:00:00,1445.3125
2023,1,7,05:15:00,1437.5
2023,1,7,05:30:00,1445.3125
2023,1,7,05:45:00,1414.0625
2023,1,7,06:00:00,1414.0625
2023,1,7,06:15:00,1421.875
2023,1,7,06:30:00,1445.3125
2023,1,7,06:45:00,1351.5625
2023,1,7,07:00:00,1351.5625
2023,1,7,07:15:00,1140.625
2023,1,7,07:30:00,1171.875
2023,1,7,07:45:00,1195.3125
2023,1,7,08:00:00,851.5625
2023,1,7,08:15:00,789.0625
2023,1,7,08:30:00,1632.8125
2023,1,7,08:45:00,2226.5625
2023,1,7,09:00:00,2015.625
2023,1,7,09:15:00,531.25
2023,1,7,09:30:00,158.38623046875
2023,1,7,09:45:00,414.0625
2023,1,7,10:00:00,1343.75
2023,1,7,10:15:00,843.75
2023,1,7,10:30:00,-136.23046875
2023,1,7,10:45:00,-212.95166015625
2023,1,7,11:00:00,-272.39990234375
2023,1,7,11:15:00,-507.87353515625
2023,1,7,11:30:00,-880.9814453125
2023,1,7,11:45:00,-707.03125
2023,1,7,12:00:00,-595.458984375
2023,1,7,12:15:00,-1108.7646484375
2023,1,7,12:30:00,-71.2890625
2023,1,7,12:45:00,-824.27978515625
2023,1,7,13:00:00,445.9228515625
2023,1,7,13:15:00,-910.2783203125
